ep_plastic,sigma_Ludwik_MPa,sigma_Swift_MPa,sigma_Voce_MPa
0.05434345677649297,943.0108601090596,942.1055761291004,940.8938269834209
0.054935400254139975,943.8832792135735,942.9052455419925,941.6007370821808
0.05552734373178698,944.7527230754342,943.7002543330575,942.3006375601412
0.05611928720943398,945.6192333983257,944.490660372017,942.9935979237133
0.05671123068708099,946.4828508683453,945.2765204337788,943.679686990092
0.057303174164727994,947.343615189179,946.0578902261751,944.3589728940908
0.057895117642374996,948.2015651157114,946.8348244168208,945.0315230949079
0.058487061120022006,949.0567384861542,947.6073766591279,945.6974043828259
0.05907900459766901,949.9091722527725,948.3755996175067,946.3566828858441
0.05967094807531601,950.7589025112843,949.1395449917832,947.0094240762458
0.060262891552963015,951.6059645290034,949.8992635408637,947.6556927771005
0.060854835030610024,952.45039277179,950.654805105673,948.2955531687016
0.06144677850825703,953.2922209298713,951.4062186313938,948.9290687949394
0.06203872198590403,954.1314819425904,952.1535521890326,949.5563025696121
0.06263066546355103,954.9682080221363,952.896852996335,950.1773167826732
0.06322260894119804,955.8024306763082,953.6361674380781,950.7921731064184
0.06381455241884504,956.6341807303598,954.3715410857561,951.4009326016092
0.06440649589649204,957.4634883479712,955.1030187166863,952.0036557235373
0.06499843937413906,958.2903830513887,955.830644332553,952.6004023280284
0.06559038285178606,959.1148937407752,956.5544611774103,953.1912316773861
0.06618232632943306,959.9370487128065,957.2745117551619,953.7762024462774
0.06677426980708007,960.7568756785513,957.9908378465362,954.3553727275596
0.06736621328472707,961.5744017806674,958.7034805255763,954.9288000380494
0.06795815676237407,962.389653609947,959.4124801756561,955.496541324235
0.06855010024002108,963.2026572212401,960.1178765050466,956.058652967931
0.06914204371766808,964.0134381487853,960.8197085620402,956.6151907918781
0.06973398719531508,964.822021420975,961.5180147496527,957.1662100652866
0.0703259306729621,965.6284315745797,962.2128328399147,957.7117655093248
0.0709178741506091,966.4326926684564,962.904199987768,958.2519113025539
0.0715098176282561,967.2348282967637,963.5921527445786,958.7867010863081
0.0721017611059031,968.034861601705,964.2767270712789,959.3161879700217
0.07269370458355011,968.8328152858211,964.9579583511528,959.8404245365033
0.07328564806119711,969.6287116238506,965.6358814022747,960.3594628471576
0.07387759153884411,970.4225724741774,966.3105304896118,960.8733544471562
0.07446953501649113,971.2144192898834,966.9819393368036,961.3821503705557
0.07506147849413813,972.004273129421,967.6501411376272,961.8859011453662
0.07565342197178514,972.7921546669245,968.3151685671578,962.3846567985694
0.07624536544943214,973.5780842021716,968.9770537926366,962.8784668610863
0.07683730892707914,974.3620816702135,969.6358284840528,963.3673803726964
0.07742925240472615,975.144166650683,970.2915238244493,963.8514458869076
0.07802119588237315,975.9243583767978,970.9441705199619,964.3307114757781
0.07861313936002017,976.7026757440675,971.5937988095991,964.8052247346905
0.07920508283766717,977.4791373187193,972.2404384747714,965.2750327870779
0.07979702631531417,978.2537613458506,972.8841188485761,965.7401822891043
0.08038896979296117,979.0265657573232,973.5248688248475,966.200719434298
0.08098091327060818,979.7975681794039,974.1627168669783,966.6566899581385
0.08157285674825518,980.5667859401667,974.7976910165182,967.1081391425988
0.08216480022590218,981.334236076662,975.4298189015591,967.5551118206423
0.0827567437035492,982.0999353418636,976.05912774491,967.9976523806749
0.0833486871811962,982.8639002114011,976.6856443720711,968.4358047709537
0.0839406306588432,983.6261468900868,977.3093952190108,968.8696125039506
0.08453257413649021,984.3866913182435,977.9304063397509,969.2991186606744
0.08512451761413721,985.1455491778406,978.5487034137702,969.7243658949484
0.08571646109178421,985.9027358984481,979.1643117532248,970.1453964376467
0.08630840456943122,986.6582666630111,979.7772563099957,970.562252100888
0.08690034804707823,987.4121564134555,980.3875616825683,970.974974282188
0.08749229152472524,988.1644198561269,980.9952521227453,971.3836039685705
0.08808423500237224,988.915071467073,981.6003515422012,971.7881817406375
0.08867617848001924,989.6641254971712,982.202883518881,972.1887477765997
0.08926812195766624,990.41159597711,982.802871303249,972.5853418562664
0.08986006543531325,991.1574967222261,983.4003378243908,972.9780033649957
0.09045200891296025,991.9018413372062,983.995305695972,973.3667712976063
0.09104395239060727,992.6446432206544,984.5877972220599,973.7516842622495
0.09163589586825427,993.3859155695328,985.1778344028099,974.1327804842438
0.09222783934590127,994.1256713834771,985.7654389400216,974.5100978098707
0.09281978282354827,994.8639234689942,986.3506322425663,974.8836737101335
0.09341172630119528,995.6006844435431,986.9334354316939,975.2535452844784
0.09400366977884228,996.3359667395046,987.5138693462154,975.6197492644782
0.09459561325648928,997.0697826080439,988.0919545475716,975.982322017481
0.0951875567341363,997.802144122868,988.6677113247868,976.3412995502217
0.0957795002117833,998.5330631838831,989.2411596993112,976.6967175123968
0.0963714436894303,999.2625515207534,989.8123194297566,977.0486112002061
0.09696338716707731,999.9906206963673,990.3812100165258,977.3970155598566
0.09755533064472431,1000.7172821102107,990.947850706341,977.7419651910343
0.09814727412237131,1001.442547001653,991.5122604966722,978.0834943503392
0.09873921760001832,1002.1664264531472,992.0744581400693,978.4216369546878
0.09933116107766532,1002.8889313933478,992.6344621483987,978.7564265846811
0.09992310455531234,1003.6100726001473,993.1922907969897,979.0878964879399
0.10051504803295934,1004.3298607036371,993.7479621286896,979.416079582406
0.10110699151060634,1005.048306188991,994.3014939578337,979.7410084596117
0.10169893498825334,1005.7654193992777,994.8529038741294,980.0627153879163
0.10229087846590035,1006.4812105382014,995.4022092464567,980.3812323157103
0.10288282194354735,1007.195689672775,995.9494272265898,980.6965908745889
0.10347476542119435,1007.9088667359262,996.4945747528393,981.0088223824923
0.10406670889884137,1008.6207515290397,997.0376685536177,981.3179578468172
0.10465865237648837,1009.3313537244369,997.578725150931,981.6240279674946
0.10525059585413538,1010.040682867795,998.117760863796,981.9270631400398
0.10584253933178238,1010.7487483805079,998.6547918115897,982.22709345857
0.10643448280942938,1011.4555595619893,999.1898339173252,982.5241487187939
0.10702642628707638,1012.1611255919215,999.722902910865,982.8182584209698
0.10761836976472339,1012.8654555324499,1000.2540143320639,983.1094517728357
0.1082103132423704,1013.5685583303253,1000.7831835338512,983.3977576925098
0.1088022567200174,1014.2704428189968,1001.3104256852489,983.6832048113624
0.10939420019766441,1014.9711177206539,1001.8357557743284,983.965821476859
0.10998614367531141,1015.6705916482223,1002.3591886111091,984.2456357553758
0.11057808715295842,1016.3688731073127,1002.8807388303968,984.5226754349866
0.11117003063060542,1017.0659704981248,1003.4004208945673,984.7969680282226
0.11176197410825242,1017.7618921173076,1003.9182490962941,985.068540774805
0.11235391758589944,1018.4566461597773,1004.43423756122,985.3374206443492
0.11294586106354644,1019.1502407204931,1004.9484002505804,985.6036343390441
0.11353780454119344,1019.8426837961941,1005.46075096377,985.8672082963033
0.11412974801884045,1020.5339832870965,1005.9713033408626,986.1281686913907
0.11472169149648745,1021.2241469985522,1006.4800708650808,986.38654144002
0.11531363497413445,1021.9131826426722,1006.9870668652175,986.6423522009285
0.11590557845178145,1022.6010978399117,1007.4923045180102,986.8956263784249
0.11649752192942847,1023.287900120623,1007.9957968504712,987.1463891249125
0.11708946540707547,1023.9735969265716,1008.4975567421707,987.3946653433868
0.11768140888472248,1024.6581956124212,1008.9975969274784,987.6404796899087
0.11827335236236948,1025.341703447186,1009.495929997761,987.8838565760532
0.11886529584001648,1026.0241276156514,1009.9925684035386,988.1248201713333
0.11945723931766349,1026.7054752197637,1010.4875244566001,988.363394405601
0.12004918279531049,1027.3857532799911,1010.9808103320793,988.5996029714228
0.1206411262729575,1028.0649687366558,1011.4724380704912,988.8334693264333
0.12123306975060451,1028.7431284512365,1011.9624195797311,989.0650166956643
0.12182501322825151,1029.420239207645,1012.4507666370362,989.2942680738518
0.12241695670589851,1030.0963077134754,1012.9374908909102,989.5212462277188
0.12300890018354552,1030.7713406012267,1013.422603863014,989.7459736982373
0.12360084366119252,1031.4453444295013,1013.906116950019,989.9684728028654
0.12419278713883952,1032.118325684178,1014.3880414254297,990.1887656377652
0.12478473061648654,1032.7902907795599,1014.8683884413701,990.4068740799958
0.12537667409413356,1033.461246059501,1015.3471690303393,990.6228197896869
0.12596861757178054,1034.1311977985085,1015.8243941069345,990.836624212189
0.12656056104942756,1034.8001522028223,1016.3000744695433,991.048308580204
0.12715250452707455,1035.4681154114737,1016.774220802006,991.2578939158927
0.12774444800472157,1036.135093497323,1017.2468436752462,991.4654010329639
0.12833639148236856,1036.801092468074,1017.7179535488748,991.67085053874
0.12892833496001557,1037.4661182672737,1018.1875607727641,991.8742628362043
0.1295202784376626,1038.1301767752846,1018.6556755885935,992.075658126027
0.13011222191530958,1038.7932738102443,1019.1223081313688,992.2750564085711
0.13070416539295657,1039.4554151290038,1019.5874684309154,992.4724774858794
0.13129610887060358,1040.1166064280462,1020.0511664133427,992.6679409636397
0.1318880523482506,1040.7768533443905,1020.5134119024866,992.861466253133
0.1324799958258976,1041.436161456475,1020.9742146213234,993.0530725731608
0.1330719393035446,1042.0945362850252,1021.4335841933613,993.2427789519536
0.1336638827811916,1042.7519832939054,1021.8915301440072,993.4306042290604
0.1342558262588386,1043.4085078909525,1022.34806190191,993.6165670572202
